,Time,Source,Content
239,13:17 20/06,ערוץ 7,ספינות האוויר שיחליפו את המטוסים?
240,13:15 20/06,ice,"חוצה את הקווים: מנהלת בחברת האשראי max עוברת לשב""א"
241,13:14 20/06,Ynet,"השומר שהיה עד לרצח ליטל יעל מלניק: ""נבהלתי ממה שראיתי, היא לא זזה"""
242,13:11 20/06,ישראל היום,בהשקעה של כחצי מיליון שקלים: המותג האמריקני פותח חנות ראשונה בישראל
243,13:09 20/06,ישראל היום,"צפו: צוות השחקנים ויוצרי ""מנאייכ"" מגיבים לעזיבתה של אורנה פיטוסי"
244,13:08 20/06,Ynet,"תושב לוד הודה שרצח את אחותו וקבר אותה ביער ב-2019. אחיו, שהיה עד, עדיין נעדר"
245,13:05 20/06,ערוץ 7,"הרב שרלו חוזר לקרבות: ""ביהירות נכנסנו למארב סורי צפוי כל כך"""
246,13:01 20/06,וואלה,"גנץ על ההתרעות בטורקיה: ""פגיעה בישראלים תוביל לתגובות עוצמתיות"""
247,13:00 20/06,ישראל היום,האם מכונות הקפה הסיניות מרגלות אחרינו?
248,13:00 20/06,ישראל היום,בונזי קולסון מועמד למכבי תל אביב
249,13:00 20/06,ice,"אמיר חצרוני במסר לפעילי המחאה: ""לוזרים ממורמרים למטר מרובע"""
250,13:00 20/06,ice,חלוצי ההייטק הישראלי חנכו בטכניון בניין חדש על שמם
251,13:00 20/06,ice,"רמי לוי, יוחננוף או ויקטורי? זו הרשת הזולה ביותר"
252,12:58 20/06,mako,"שר הביטחון בני גנץ: ""מול האיום של איראן לבצע פיגוע - הנחיתי את מערכת הביטחון להיערך לתגובה עוצמתית"""
253,12:57 20/06,ישראל היום,"ח""כ ביטון התייחס לראשונה לפערים מול מיכאלי: ""הפתרונות עדיין לא הגיעו"""
254,12:54 20/06,מעריב,שני פלסטינים נעצרו בחשד לביצוע שוד נגד אזרח ישראלי בשומרון
255,12:51 20/06,ישראל היום,לראשונה בישראל: עדויות לחיילים יווניים ממלחמת העולם השנייה
256,12:51 20/06,mako,"שני פלסטינים בשנות ה-20 לחייהם נעצרו בחשד שבשבוע שעבר שדדו אזרח ישראלי כבן 70, בכפר קדיס"
257,12:50 20/06,ערוץ 7,גורמים בקואליציה מדווחים על התקדמות מול ח״כ מאזן ג׳נאים
258,12:49 20/06,Ynet,"אחיו של איציק סעידיאן: ""הרופאים לא האמינו שיוכל ללכת. גם הם מודים שהוא נס"""
259,12:47 20/06,ישראל היום,לראשונה בישראל: עדויות לחיילים יווניים שנמנו על כוחות בעלות הברית במלחמת העולם השנייה
260,12:47 20/06,ערוץ 7,בדרך למחיקת אפלייתן של לומדות תורה
261,12:45 20/06,ישראל היום,אושר בוועדת הכלכלה: סמכויות הפקחים העירוניים יורחבו
262,12:45 20/06,ice,רמי לוי או ויקטורי? זו הרשת הזולה ביותר
263,12:45 20/06,ice,גולדפינגר תקשורת במינוי חדש בהנהלה
264,12:43 20/06,Ynet,"אחיו של איציק סעידיאן: ""המטרה עכשיו - קידום הרפורמה לנכי צה""ל"""
265,12:39 20/06,ערוץ 7,ישראל לוחצת: לבטל את מועד הסיום של הסכם הגרעין
266,12:36 20/06,ערוץ 7,הביטוח הלאומי פתח מרכז חדש בו יתנהלו הועדות הרפואיות
267,12:34 20/06,ערוץ 7,תושב ביתר עילית מואשם בביצוע עבירות מין בקטין 
268,12:33 20/06,ערוץ 7,שני פלסטינים נעצרו בחשד לשוד ישראלי בכפר קדיס בשומרון
269,12:32 20/06,Ynet,לא רק שוטרים: פקחים עירוניים הוסמכו לקנוס רוכבי אופניים וקורקינטים
270,12:30 20/06,מעריב,בנק דיסקונט יעמיד מימון בהיקף של 140 מיליון אירו להקמת בתי חולים בגאנה
271,12:28 20/06,ישראל היום,"שר הביטחון על האיום האיראני: ""פגיעה בישראלים תוביל לתגובה עוצמתית"""
272,12:28 20/06,mako,"עשרים ושלוש שנות מאסר נגזרו על נור א-דין שינאוי, שדקר בעפולה את שובה מלכה ופצע אותה באורח קשה"
273,12:28 20/06,ישראל היום,"חוקר בכיר בכוויית: ""הפלשתינים הם כמו אירופאים"""
274,12:27 20/06,Ynet,"גנץ: ""פגיעה באזרחים ישראלים בטורקיה תביא לתגובות עוצמתיות בכמה מקומות"""
275,12:25 20/06,ישראל היום,"שר הביטחון על האיום האיראני: ""פגיעה באזרחים ישראלים תוביל לתגובה עוצמתית"""
276,12:24 20/06,ערוץ 7,"ח""כ ביטון: בסוגיית הרפורמה בתח""צ הפערים גדולים"
277,12:22 20/06,ערוץ 7,"ח""כ מיכאל ביטון מתכוון להצביע עם הקואליציה בעד חוק המענקים"
278,12:20 20/06,מעריב,רשם העמותות החליטה לשלול את אישור הניהול התקין של עמותת לג'נת זקאת אלקודס
279,12:19 20/06,ישראל היום,"חיטטנו באינסטגרם של דיאן שוורץ, ומצאנו דברים מסקרנים במיוחד"
280,12:19 20/06,וואלה,בעלי מועדון הפורום בבאר שבע הואשם בעבירות מין ובאספקת סמים
281,12:17 20/06,ישראל היום,פשרת שרת החינוך: בלתי מספיק
282,12:16 20/06,ערוץ 7,אחרי עשרים שנה: כוכבי הראפ וההיפ הופ מחזירים עטרה ליושנה
283,12:15 20/06,mako,"האוקראינים מעדכנים על האבידות של הרוסים בלחימה: 33 אלף חיילים נהרגו, 216 מטוסים ו-181 מסוקים הופלו"
284,12:14 20/06,ערוץ 7,"ארה""ב החרדית: קרב ההסעות של אגודת ישראל"
285,12:13 20/06,ערוץ 7,מוישי קליינרמן בהונגריה?
286,12:13 20/06,ערוץ 7,הגבאי המסור הלך לעולמו
287,12:10 20/06,ישראל היום,"חוקרי בכיר בכוויית: ""הפלשתינים הם כמו אירופאים"""
288,12:10 20/06,ישראל היום,"ביטוח לאומי חושף: ""פותחים מבנה של מומחי רפואה הראשון בארץ"""
289,12:10 20/06,ישראל היום,"דריה אטמנוב: ""באתי מאותו אולם של לינוי, אבל אני זו אני"""
290,12:08 20/06,Ynet,"גנץ: ""פגיעה באזרחים ישראלים בטורקיה תביא לתגובות עוצמתיות"""
291,12:08 20/06,Ynet,"שיקלי על אורבך: ""מופע מביך מבחינת יכולת מנהיגות וקבלת החלטות"""
292,12:05 20/06,וואלה,דיווח בסוריה: מתקפת טרור על אוטובוס; 13 הרוגים
293,12:03 20/06,ערוץ 7,גל התייקרויות: מחירי הדלק והחלב יזנקו
294,12:02 20/06,ישראל היום,רוצים שתראו להם: להקת פורינר חוזרת לישראל
295,12:02 20/06,ישראל היום,"שר הביטחון על האיום האיראני: ""נשתף פעולה עם מדינות האזור"""
296,12:02 20/06,ישראל היום,מה הדברים שחשוב לדעת לפני בחירת רכב שטח
297,12:00 20/06,ישראל היום,הטרנדים החמים בעולם המטבחים
298,12:00 20/06,ערוץ 7,"גנץ בוועדת חוץ וביטחון: ""יש לנו מגוון כלים ונדע להגיב מול כל פעולה איראנית"""
299,12:00 20/06,ice,"עשרות מיליונים נתרמו למרכז הרפואי, זה השימוש שיעשה בהם"
300,11:56 20/06,ישראל היום,"ביטוח לאומי חושף: ""פותחים מבנה של מומחי רפואה הראשון בארץ"""
301,11:56 20/06,וואלה,בעלי מועדון הפורום הואשם באינוס ואספקת סמים
302,11:52 20/06,מעריב,מיכאלי ובר לב הודיעו: אושרה הרחבת סמכויות הפקחים העירוניים
303,11:52 20/06,ערוץ 7,גבול אוקראינה יפתח לכניסת קבוצות ממולדובה
304,11:52 20/06,Ynet,בהסדר טיעון: תושב לוד הודה שרצח את אחותו וקבר אותה ביער
305,11:51 20/06,ערוץ 7,החופש התחיל? שנת הלימודים התחילה - סיון רהב מאיר
306,11:50 20/06,mako,"האוקראינים מעדכנים על האבידות של הרוסים בלחימה: 33,8 אלף חיילים נהרגו, 216 מטוסים ו-181 מסוקים הופלו"
307,11:50 20/06,וואלה,פקחים עירוניים יאכפו עבירות של רוכבי אופניים וקורקינטים חשמליים
308,11:45 20/06,ערוץ 7,ארגז ההפתעות שריגש את העולים מאוקראינה
309,11:45 20/06,ice,חומר הדברה במזון לתינוקות: החברה שסיכנה את הילדים שלכם
310,11:44 20/06,ערוץ 7,נתניהו: בנט כובל את ידי צה״ל
311,11:42 20/06,ישראל היום,"באיראן מודים: ""מדען הגרעין נהרג בחבלה מכוונת"""
312,11:40 20/06,מעריב,עולים מאוקראינה ישתתפו בקמפיין של הסוכנות היהודית
313,11:39 20/06,ישראל היום,"ביאראן מודים: ""מדען הגרעין נהרג בחבלה מכוונת"""
314,11:33 20/06,ישראל היום,אישום: חברת הדברה השאירה חומר מסוכן בקופסת מטרנה בגן ילדים
315,11:32 20/06,ערוץ 7,"ועדת הכספים אישרה מתן סעיף 46 לעמותת ""עד כאן"""
316,11:31 20/06,ערוץ 7,אלקין: נמשיך ללחוץ לאישור חוק הנאשם
317,11:30 20/06,ישראל היום,"""התקיפה - חלק משגרה יומית"": חשש מפעולת סייבר איראנית שהפעילה אזעקות בירושלים ובאילת"
318,11:30 20/06,ice,עוקץ המיליונים נחשף: כך פעלה שיטת ההונאה הבינלאומית
319,11:30 20/06,ice,עונש חמור למבצע הפיגוע בעפולה: זה סכום הפיצויים שישלם
320,11:30 20/06,ice,שלא ינצלו אתכם: הפער בהעלאות השכר במגזר הציבורי לפרטי
321,11:27 20/06,ערוץ 7,20% מהתלונות שהוגשו נגד מייצגי המדינה בערכאות נמצאו מוצדקות
322,11:26 20/06,Ynet,"צרפת בסכנה של שיתוק פוליטי, הישג אדיר ללה פן: ""השגנו את כל המטרות"""
323,11:25 20/06,ישראל היום,שר הביטחון בהצהרה בוועדת חוץ וביטחון
324,11:25 20/06,ישראל היום,אלו ההנחיות החדשות של משרד הבריאות בעקבות העלייה הדרמטית בכמות המאומתים לקורונה
325,11:22 20/06,ערוץ 7,ועדת העבודה והרווחה אישרה חוק הכרה באחים שכולים
326,11:18 20/06,ישראל היום,"מגן דרומי? 4,000 יח""ד חדשות בשדרות"
327,11:18 20/06,ערוץ 7,עדת העבודה והרווחה אישרה חוק הכרה באחים שכולים
328,11:17 20/06,ערוץ 7,משפט נתניהו: בשל מחלת השופט בוטלו הדיונים השבוע
329,11:16 20/06,mako,משרד הבריאות: להיערך לפתיחת מחלקות ייעודיות למאושפזי קורונה
330,11:15 20/06,ערוץ 7,חברת הדברה שהתרשלה והשאירה חומר רעיל בגן ילדים הורשעה ונקנסה
331,11:15 20/06,ice,"ציפי שביט חושפת: ""הוא היה הנפש התאומה שלי"""
332,11:15 20/06,ice,עונש חמור למחבל: זה סכום הפיצויים שישלם
333,11:15 20/06,ice,טייקונים ומונופולים ראו הוזהרתם: כך אי אפשר עוד להמשיך
334,11:15 20/06,ice,"השודדת חשבה שהשוד הצליח, אך לא הבחינה בפרט קריטי"
335,11:15 20/06,ice,קצבת הביטוח הלאומי יותר מתוכפל: אלו הזכאים
336,11:15 20/06,israeldefense,"""האביב הערבי"" ממשקפיים של צעירים "
337,11:12 20/06,ישראל היום,כל הפרטים על המופע של נועה קירל בפארק הירקון
338,11:12 20/06,mako,סוריה: 13 חיילים נהרגו ושניים נפצעו במתקפת טרור על אוטובוס
339,11:09 20/06,מעריב,עקב מחלת השופט והיעדרותו של שופט נוסף: משפט נתניהו יתחדש רק בסוף החודש
340,11:09 20/06,מעריב,הצהרת תובע בגין עבירות אונס ומעשה סדום בקטינה יוגשו נגד שני תושבי המרכז
341,11:09 20/06,Ynet,"תיק נגד קבצנית, טיוח אלימות שוטרים ופרשת כרייף-נוה: הדוח על הפרקליטות"
342,11:09 20/06,Ynet,"לראשונה זה חודשיים וחצי: יותר מ-10,000 מאומתים לקורונה"
343,11:08 20/06,mako,"אושרה הרחבת סמכויות הפקחים העירוניים לאכיפה כלפי משתמשי כלי רכב דו-גלגליים, בדגש על כלים חשמליים"
344,11:07 20/06,mako,מלכת הנופש החדשה | מי החליפה את טורקיה כיעד תיירותי?
345,11:05 20/06,וואלה,דיווח בסוריה: מתקפת טרור על אוטובוס; 15 הרוגים ופצועים
346,11:04 20/06,ישראל היום,מוקדמות אליפות העולם: ים מדר ישחק רק מול פולין
347,11:03 20/06,וואלה,טהראן: מוקדם מכדי לדבר על פתיחת שגרירות בערב הסעודית
348,11:02 20/06,ערוץ 7,פוליטיזציה של שירותי הדת היא רעה - דעה
349,11:00 20/06,ice,דלויט בסבב מינויים: אלו ראשי המגזרים החדשים
350,10:58 20/06,ישראל היום,מיכאלי ובר-לב אישרו: סמכויות הפקחים העירוניים יורחבו
351,10:55 20/06,ערוץ 7,נועה קירל הכריזה על הופעה בפארק הירקון
352,10:54 20/06,וואלה,23 שנות מאסר למחבל שדקר תלמידת אולפנה דתייה בעפולה ב-2018
353,10:52 20/06,ערוץ 7,"יו""ר הנהגת ההורים: ""השביתות האלה לא משפיעות על אף אחד"""
354,10:52 20/06,ישראל היום,ממלצרות ועד שמרטפות: הקיץ הגיע ובני הנוער יוצאים לעבוד
355,10:50 20/06,Ynet,"יותר מאיראן, טרור וקורונה: ""יוקר המחיה – הסוגיה שהכי מטרידה את הישראלים"""
356,10:45 20/06,וואלה,"צפון קוריאה: מאות משפחות סובלות מהתפרצות של ""מחלת מעיים חריפה"""
357,10:45 20/06,ערוץ 7,החברה להגנת הטבע לשרה אלהרר: להקפיא כל חיפושי גז חדשים בים
358,10:45 20/06,ice,"מהפכה בכרטיסי האשראי: ישראכרט משיקה כרטיס חדש - ללהט""ב בלבד"
359,10:45 20/06,ice,"כמה תרם ארגון להב""ה לעמותה הפלסטינית?"
360,10:43 20/06,מעריב,חברת הדברה הורשעה בהדברה שלא כחוק ונקנסה ב-30 אלף שקלים
361,10:41 20/06,ערוץ 7,משלחת תעשיינים מצרית הגיעה לישראל במסגרת הסכם ה-QIZ
362,10:40 20/06,ערוץ 7,בעלי מוגבלויות יוכשרו לעבודה בחקלאות
363,10:39 20/06,ערוץ 7,הגל השישי: משרד הבריאות הנחה את בתי החולים להיערך לעלייה בתחלואה
364,10:35 20/06,Ynet,"מתקפת הסייבר באילת: ""הפורצים חדרו למערכת הכריזה ב-3 מוקדים - והשמיעו אזעקה"""
365,10:34 20/06,ישראל היום,"""אנשים נשחטו כמו תרנגולות"": מאות הרוגים בטבח באתיופיה"
366,10:34 20/06,ישראל היום,"ביטוח לאומי יחשוף: ""בשורה היסטורית בנושא הוועדות הרפואיות"""
367,10:30 20/06,israeldefense,פרשנות | לא רק עומק אסטרטגי - ישראל תלויה בירדן לייצוא גז לאירופה 
368,10:30 20/06,ice,דלויט בסבב מינויים: אלו ראשי הענפים החדשים
369,10:29 20/06,ערוץ 7,"פנייה לח""כים: ""אל תעבירו את תקנות יו""ש בלי החלפת הממשלה או פיזור הכנסת"""
370,10:27 20/06,וואלה,"10,202 בני אדם אובחנו חיוביים לקורונה ביממה האחרונה"
371,10:26 20/06,וואלה,דאעש באפגניסטאן: המתקפה במקדש סיקי - נקמה על עלבון הנביא מוחמד
372,10:25 20/06,מעריב,לראשונה זה עשור: משלחת תעשיינים מצריים מבקרת בישראל
373,10:21 20/06,ערוץ 7,"סערת יו""ר המועצה הדתית באפרת: זה האיש מאחורי המינוי"
374,10:21 20/06,ערוץ 7,תושב טייבה חשוד בהחזקה לא חוקית של אמצעי לחימה
375,10:20 20/06,מעריב,תושב טייבה נעצר בחשד להחזקה לא חוקית של אקדח ושתי מחסניות
376,10:20 20/06,מעריב,תינוק כבן שנה נפצע באורח בינוני מפגיעת רכב בלקיה שבנגב
377,10:19 20/06,Ynet,"האזעקות בי-ם ובאילת: ""מערך הסייבר לא יכול להגן על הכול"""
378,10:16 20/06,ישראל היום,"התוכניות של קטש: שלושה רכזים, והגנה קשוחה"
379,10:15 20/06,וואלה,שר החוץ של האיחוד האירופי: אזרחי קולומביה בחרו בחברה חופשיה יותר
380,10:15 20/06,ערוץ 7,"תינוק נפגע מרכב בלקיה, מצבו בינוני"
381,10:15 20/06,ice,"כנרת בראשי זועמת: ""זו הסיבה שהימין לא יחזור לשלוט"""
382,10:15 20/06,ice,"בעקבות המצב באוקראינה: ""לבחון מדיניות כלפי מבקשי מקלט אפריקאים"""
383,10:15 20/06,ice,"אביר קארה תוקף את נעמה לזימי: ""לזימי – להזיק"""
384,10:15 20/06,ice,"אוהדי בית""ר ירושלים: ""רוצחים לנו את המועדון"""
385,10:10 20/06,ישראל היום,"הממשלה אישרה: יוגדלו מענקי הדיור לנכי צה""ל"
386,10:10 20/06,ישראל היום,"עם אקדחים, רובים וציוד צלפים: רשת מבריחים נתפסה בסמוך לירדן"
387,10:09 20/06,וואלה,"איראן: מוכנה להגיע להסכם גרעין טוב, אך ארה""ב מעכבת את השיחות"
388,10:08 20/06,ערוץ 7,"יותר מ-10,000 חולים אובחנו עם קורונה"
389,10:06 20/06,mako,"דיווח: איראן הגישה הצעה מחודשת להסכם, ושוקלת דרישה להימנע מפגיעה בבכירים"
390,10:05 20/06,mako,פרשת עוקץ המיליונים: ישראלים חשודים שהונו אנשי עסקים בסכום של כ-120 מיליון שקל
391,10:04 20/06,ישראל היום,23 שנות מאסר למחבל שדקר נערה שחזרה מבגרות בעפולה
392,10:02 20/06,ישראל היום,רגע לפני כתב האישום נגדו: מועדון הפורום הודיע על סיום תפקידו של יוסי שוורץ
393,10:02 20/06,מעריב,23 שנות מאסר נגזרו על המחבל שביצע פיגוע דקירה בתחנת אוטובוס בעפולה ב-2018
394,10:02 20/06,mako,המודיעין הבריטי: רוסיה כשלה להשיג שליטה אווירית בלחימה באוקראינה
395,10:02 20/06,ערוץ 7,23 שנות מאסר נגזרו על המחבל שדקר לפני ארבע שנים נערה בעפולה
396,10:02 20/06,Ynet,איש הגרילה הפך לנשיא: ניצחון היסטורי לשמאל בקולומביה
397,10:01 20/06,mako,"אחרי החשדות לעבירות מין: מועדון הפורום מתנער מהבעלים, יוסי שוורץ"
398,10:00 20/06,mako,"לאחר ביקור השר לבט""פ בבאקה אל-גרבייה - בוצע ירי לעבר עסק בעיר"
399,10:00 20/06,ice,עוקץ חדש בכביש: זו השיטה שיש להיזהר ממנה
400,09:59 20/06,mako,"שנות מאסר נגזרו על נור א-דין שינאוי, שבשנת 2018 דקר בעפולה את שובה מלכה ופצע אותה באורח קשה"
401,09:59 20/06,mako,"המשטרה מבקשת את עזרת הציבור באיתור הנעדר אליה מסלוט, בן 47 מבאר שבע, שנראה לאחרונה אתמול בעיר"
402,09:58 20/06,ישראל היום,עֶשְׂרִים בְּחֹדֶשׁ יוּנִי
403,09:57 20/06,Ynet,23 שנות מאסר למחבל שדקר נערה בדרך לבחינת בגרות
404,09:53 20/06,ישראל היום,לא יולי־אוגוסט - אב־אלול
405,09:52 20/06,מעריב,"שלושה תושבי הפזורה הבדואית נעצרו בחשד להברחת אמל""ח מגבול ירדן לישראל"
406,09:49 20/06,ערוץ 7,סוכלה הלילה הברחת אמצעי לחימה מגבול ירדן
407,09:45 20/06,ice,מחסור חמור בסופרמרקטים: זה המשבר שמסכן את התינוקות
408,09:45 20/06,ice,רייטינג: האח הגדול שוב הצליחה לנצח את מאסטר שף?
409,09:44 20/06,מעריב,"קורונה בישראל: 10,202 מאומתים אובחנו ביממה האחרונה"
410,09:40 20/06,Ynet,המתנחלים ניצחו באביתר. ככה קמים יישובים
411,09:40 20/06,Ynet,משטרת זהו בינתיים
412,09:39 20/06,ערוץ 7,השמאל הקיצוני יפגין מול ביתו של אלוף פיקוד מרכז
413,09:37 20/06,וואלה,"כ-10,200 בני אדם אובחנו חיוביים לקורונה ביממה האחרונה"
414,09:36 20/06,ישראל היום,"""הנשים שלו"": דניאל גרינברג מדברת על ההופעה של איל גולן"
415,09:36 20/06,ישראל היום,משבר מדעי הרוח: תהליך ישראלי הרסני
416,09:36 20/06,ישראל היום,השתלת שיער בטורקיה – הכירו את חברת FOREVER YOUNG שעובדת עם טובי הרופאים בעולם
417,09:35 20/06,וואלה,"כ-10,200 מאומתים חדשים לקורונה ביממה האחרונה"
418,09:34 20/06,מעריב,כוחות הביטחון עצרו הלילה 13 מבוקשים והחרימו אמצעי לחימה ברחבי יהודה ושומרון
419,09:33 20/06,ישראל היום,"הונאת הענק: חמישה חשודים נעצרו לאחר שהבטיחו את ""השקעת החלומות"" ועקצו כ-120 מיליון שקל"
420,09:32 20/06,וואלה,13 מבוקשים נעצרו על ידי כוחות הביטחון ברחבי יהודה ושומרון
421,09:31 20/06,מעריב,נשיא אוקראינה זלנסקי ינאם בפני האוניברסיטה העברית השבוע
422,09:31 20/06,ערוץ 7,"כוחות הביטחון עצרו הלילה 13 מבוקשים ביו""ש"
423,09:30 20/06,ישראל היום,כבר לא צריך לנסוע לצפון בשביל הקרואסון הטוב בישראל
424,09:29 20/06,מעריב,חברת הלואו-קוסט EasyJet הודיעה על ביטול של חלק מהטיסות בחודשי הקיץ
425,09:26 20/06,וואלה,5 נעצרו בחשד שהונו משקיעים בסוך של כ-120 מיליון שקלים
426,09:24 20/06,ישראל היום,חובה להכיר: מילון דור ה־Z
427,09:24 20/06,ישראל היום,זלנסקי מזהיר: רוסיה נערכת למתקפה גדולה נוספת
428,09:18 20/06,ישראל היום,"""באתי מאותו אולם של לינוי, אבל אני זו אני"""
429,09:15 20/06,ישראל היום,הונאת הענק: חמישה חשודים נעצרו לאחר שהבטיחו את השקעת החלומות ועקצו כ-120 מיליון שקל
430,09:15 20/06,ישראל היום,"""טענו בעבר שאי אפשר בעברית"": חוגגים היפ־הופ ישראלי"
431,09:15 20/06,ערוץ 7,"גורם בקואליציה: שקד, אורבך ובנט - מתואמים על מלא"
432,09:15 20/06,ice,סצנת הראפ הישראלית מתאחדת על במה אחת: איפה זה יקרה וכמה יעלה כרטיס?
433,09:15 20/06,ice,זהירות! מתברר שהשליחים טועמים מהאוכל שהזמנתם
434,09:15 20/06,ice,"גוגל מטרילה: ""אם רק היה לאפל צוות מהנדסים מוכשר"""
435,09:11 20/06,ערוץ 7,צבי האוזר: הממשלה טובה לימין
436,09:05 20/06,ערוץ 7,"חמישה נעצרו בחשד שהונו משקיעים בארץ ובחו""ל בהיקף של 120 מיליון שקלים"
437,09:05 20/06,Ynet,בתקווה לגיבוש רוב: בליכוד יניחו השבוע הצעה לפיזור הכנסת
438,09:05 20/06,Ynet,"חשד: הבטיחו למשקיעים ""טכנולוגיות משנות עולם"" - והונו אותם ב-120 מיליון שקל"
439,09:00 20/06,ישראל היום,"אזהרה לעיתונאי הארגנטינאי: ""חיזבאללה עלול להתנקש בך"""
440,09:00 20/06,מעריב,חמישה חשודים נעצרו בחשד למעורבות בפרשייה שבמרכזה מיזם הונאה בינלאומי
441,09:00 20/06,ice,זהירות! מסתבר שהשליחים טועמים מהאוכל שהזמנתם
442,08:57 20/06,ישראל היום,"אזהרה לעיתונאי הארגנטינאי: ""חיזבאללה עשוי להתנקש בך"""
443,08:55 20/06,ישראל היום,חוזר לירוק: ניקיטה רוקאביצה סיכם במכבי חיפה
444,08:55 20/06,וואלה,גבר כבן 30 נפצע בינוני בתאונת דרכים בבאר יעקב
445,08:53 20/06,מעריב,"שני חשודים נעצרו כשניסו לחצות מרצועת עזה לישראל, ברשותם נתפסה סכין"
446,08:52 20/06,ישראל היום,"חלש, סתמי ורחוק מהסטנדרט של פיקסאר: ""שנות אור"" מאכזב"
447,08:51 20/06,Ynet,"פני מחאת מחירי השכירות: ""אנשים מכל הארץ, עם מגוון דעות - זו מצוקה של כולם"""
448,08:48 20/06,מעריב,גבר כבן 30 נפצע באורח בינוני בתאונת דרכים בבאר יעקב
449,08:47 20/06,ערוץ 7,"לוחמי צה""ל עצרו במהלך הלילה שני חשודים שניסו לחצות את גבול עזה"
450,08:45 20/06,ice,חשש למתקפת סייבר: מי הפעיל את האזעקות בירושלים ובאילת?
451,08:45 20/06,ice,חוגגים את השקת עונת הרחצה בצורה מקורית במיוחד
452,08:44 20/06,ערוץ 7,פצוע בינוני בתאונה ברחוב הרב משה שמואל שפירא בבאר יעקב
453,08:43 20/06,מעריב,"יו""ר ארגון ההורים: ""תומכים במורים, אבל הם עושים ניצול ציני כשמשביתים ביום קבלת התעודות"""
454,08:43 20/06,ישראל היום,"צה""ל הקפיא את הריסת בתי המחבלים בפיגוע באריאל"
455,08:43 20/06,ישראל היום,"בהפועל ב""ש עוקבים אחר מצבו הבריאותי של מאור מליקסון"
456,08:38 20/06,מעריב,"שאשא-ביטון: ""אין לנו מורים וגננות לפתוח את השנה, לדבר על החופשים זה לדבר על קצפת"""
457,08:36 20/06,ערוץ 7,"מנכ""ל איגוד האינטרנט הישראלי: המתקפה לא פגעה בתשתית ""קריטית"""
458,08:34 20/06,Ynet,שביתת נהגי האוטובוסים נמשכה הבוקר - באופן חלקי: צווי מניעה לאחד הארגונים
459,08:34 20/06,Ynet,"הצייד, העריק והמשוריין. הכנסת היא סידור עבודה"
460,08:30 20/06,ice,הלחם ייעלם מהמדפים: זה המוצר שיעלה לכם הרבה יותר
461,08:30 20/06,israeldefense,איחוד האמירויות מביעה חשש פומבי מהגרעין האיראני 
462,08:27 20/06,Ynet,"חרדים צעירים ומודרנים הולכים שבי אחרי בן גביר. בש""ס וביהדות התורה מודאגים"
463,08:23 20/06,ישראל היום,"""בשבילי תמיר בלאט היה ה-MVP"""
464,08:22 20/06,ערוץ 7,עניין אישי והפעם עם דני פחימה
465,08:19 20/06,ערוץ 7,צומת לב המפרץ בחיפה נחסם בעקבות שביתת נהגי האוטובוסים
466,08:15 20/06,israeldefense,אל ג'זירה השיגה צילום של הקליע שהרג את העיתונאית שירין אבו עאקלה
467,08:12 20/06,מעריב,פתח תקווה: גבר נמצא ללא רוח חיים בדירה בעיר
468,08:11 20/06,ישראל היום,למה להלחיץ סתם? הטרחנות של כאן חדשות
469,08:08 20/06,ערוץ 7,מערכת הביטחון עצרה את הריסת בית המחבל מהפיגוע באריאל
470,08:04 20/06,mako,לקראת פסגת האיחוד האירופי: זלנסקי צופה שתקיפות רוסיה יתגברו
471,08:01 20/06,ערוץ 7,ראשון לציון: נחשפה מעבדת הידרו ובה חומר החשוד כסם
472,08:01 20/06,Ynet,הדרג המדיני עצר את הריסת בית המחבל מאריאל
473,08:00 20/06,israeldefense,״מכינים משרדים״ - זו תגובת המדינה לעתירה מדוע וועדת החקירה לעניין רכש הצוללות טרם התחילה בעבודתה
474,08:00 20/06,israeldefense,מערך הסייבר חושד כי הפעלת האזעקות בירושלים ואילת - מתקפת סייבר
475,08:00 20/06,ice,המתחרה של וואטסאפ משיקה צעד שישנה לכם את החיים
476,08:00 20/06,ice,הפכה למיליונרית בדרך הכי לא צפויה - בגיל 11
477,07:57 20/06,ערוץ 7,הלחץ על אורבך: באופוזיציה יעלו השבוע את החוק לפיזור הכנסת
478,07:56 20/06,Ynet,בעקבות גל הפרישות: הכשרת השוטרים תקוצר מ-7 חודשים ל-7 שבועות
479,07:55 20/06,ערוץ 7,"הרב הראשי למפכ""ל המשטרה: בדוק את חילול השבת בחומש"
480,07:53 20/06,ישראל היום,בן זיני עצבני: פורק הכל על התקרית בלונדון
481,07:52 20/06,Ynet,שביתת נהגי האוטובוסים נמשכת הבוקר - באופן חלקי: צווי מניעה לאחד הארגונים
482,07:51 20/06,מעריב,ראשון לציון: תושב העיר בשנות ה-20 לחייו נעצר בחשד לניהול מעבדת הידרו לייצור סמים
483,07:50 20/06,ישראל היום,"על פרשת דרכים: גורלה של בית""ר ירושלים על הכף"
484,07:50 20/06,ערוץ 7,אלקין: הציעו לכולנו כל תפקיד שקיים - אנחנו עומדים כדבוקה אחת
485,07:47 20/06,ישראל היום,חסימות בערים מרכזיות בעקבות מחאת הנהגים
486,07:47 20/06,ישראל היום,חשד: בעקבות מתקפת סייבר אזעקות הופעלו בירושלים ובאילת
487,07:47 20/06,mako,בליכוד יבקשו היום להעלות את ההצעה לפיזור הכנסת על סדר יומה של המליאה
